:START_ID,:TYPE,:END_ID,asOf,value,unit,source_id,confidence
kg:brand/highlands,IN_CATEGORY,kg:category/processed-foods,,,,,
kg:brand/highlands,SOLD_IN,kg:place/ph,,,,,
kg:brand/extra-joss,IN_CATEGORY,kg:category/energy-drinks,,,,,
kg:brand/extra-joss,SOLD_IN,kg:place/ph,,,,,
kg:brand/7up,IN_CATEGORY,kg:category/non-alcoholic-beverages,,,,,
kg:brand/7up,SOLD_IN,kg:place/ph,,,,,
kg:brand/mr-clean,IN_CATEGORY,kg:category/household-care,,,,,
kg:brand/mr-clean,SOLD_IN,kg:place/ph,,,,,
kg:brand/lysol,IN_CATEGORY,kg:category/household-care,,,,,
kg:brand/lysol,SOLD_IN,kg:place/ph,,,,,
kg:brand/golden-fiesta,IN_CATEGORY,kg:category/cooking-essentials,,,,,
kg:brand/golden-fiesta,SOLD_IN,kg:place/ph,,,,,
kg:brand/talk-n-text,IN_CATEGORY,kg:category/services,,,,,
kg:brand/talk-n-text,SOLD_IN,kg:place/ph,,,,,
kg:brand/alaska,IN_CATEGORY,kg:category/dairy,,,,,
kg:brand/alaska,SOLD_IN,kg:place/ph,,,,,
kg:brand/sunsilk,IN_CATEGORY,kg:category/personal-care,,,,,
kg:brand/sunsilk,SOLD_IN,kg:place/ph,,,,,
kg:brand/ligo,IN_CATEGORY,kg:category/canned-and-jarred-goods,,,,,
kg:brand/ligo,SOLD_IN,kg:place/ph,,,,,
kg:brand/monde-nissin,IN_CATEGORY,kg:category/snacks-and-confectionery,,,,,
kg:brand/monde-nissin,SOLD_IN,kg:place/ph,,,,,
kg:brand/del-monte,IN_CATEGORY,kg:category/canned-and-jarred-goods,,,,,
kg:brand/del-monte,SOLD_IN,kg:place/ph,,,,,
kg:brand/spam,IN_CATEGORY,kg:category/processed,,,,,
kg:brand/spam,SOLD_IN,kg:place/ph,,,,,
kg:brand/holiday,IN_CATEGORY,kg:category/processed-foods,,,,,
kg:brand/holiday,SOLD_IN,kg:place/ph,,,,,
kg:brand/presto,IN_CATEGORY,kg:category/snacks,,,,,
kg:brand/presto,SOLD_IN,kg:place/ph,,,,,
kg:brand/cherry-prepaid,IN_CATEGORY,kg:category/services,,,,,
kg:brand/cherry-prepaid,SOLD_IN,kg:place/ph,,,,,
kg:brand/minola,IN_CATEGORY,kg:category/cooking-essentials,,,,,
kg:brand/minola,SOLD_IN,kg:place/ph,,,,,
kg:brand/purefoods-star,IN_CATEGORY,kg:category/processed-foods,,,,,
kg:brand/purefoods-star,SOLD_IN,kg:place/ph,,,,,
kg:brand/skyflakes,IN_CATEGORY,kg:category/snacks,,,,,
kg:brand/skyflakes,SOLD_IN,kg:place/ph,,,,,
kg:brand/mang-tomas,IN_CATEGORY,kg:category/cooking-essentials,,,,,
kg:brand/mang-tomas,SOLD_IN,kg:place/ph,,,,,
kg:brand/ariel,IN_CATEGORY,kg:category/household-care,,,,,
kg:brand/ariel,SOLD_IN,kg:place/ph,,,,,
kg:brand/angel,IN_CATEGORY,kg:category/dairy,,,,,
kg:brand/angel,SOLD_IN,kg:place/ph,,,,,
kg:brand/bioderm,IN_CATEGORY,kg:category/personal-care,,,,,
kg:brand/bioderm,SOLD_IN,kg:place/ph,,,,,
kg:brand/purefoods,IN_CATEGORY,kg:category/canned-and-jarred-goods,,,,,
kg:brand/purefoods,SOLD_IN,kg:place/ph,,,,,
kg:brand/flat-tops,IN_CATEGORY,kg:category/snacks,,,,,
kg:brand/flat-tops,SOLD_IN,kg:place/ph,,,,,
kg:brand/marlboro,IN_CATEGORY,kg:category/tobacco-products,,,,,
kg:brand/marlboro,SOLD_IN,kg:place/ph,,,,,
kg:brand/magic,IN_CATEGORY,kg:category/snacks,,,,,
kg:brand/magic,SOLD_IN,kg:place/ph,,,,,
kg:brand/rc-cola,IN_CATEGORY,kg:category/non-alcoholic-beverages,,,,,
kg:brand/rc-cola,SOLD_IN,kg:place/ph,,,,,
kg:brand/globe,IN_CATEGORY,kg:category/telecoms,,,,,
kg:brand/globe,SOLD_IN,kg:place/ph,,,,,
kg:brand/century,IN_CATEGORY,kg:category/canned,,,,,
kg:brand/century,SOLD_IN,kg:place/ph,,,,,
