:ID,:LABEL,name,type,iso2,ticker,slug
kg:brand/highlands,Brand,Highlands,brand,,,highlands
kg:category/processed-foods,schema:CategoryCode,Processed Foods,category,,,processed-foods
kg:place/ph,schema:Place,Philippines,place,PH,,philippines
kg:brand/extra-joss,Brand,Extra Joss,brand,,,extra-joss
kg:category/energy-drinks,schema:CategoryCode,Energy Drinks,category,,,energy-drinks
kg:brand/7up,Brand,7Up,brand,,,7up
kg:category/non-alcoholic-beverages,schema:CategoryCode,Non-Alcoholic Beverages,category,,,non-alcoholic-beverages
kg:brand/mr-clean,Brand,Mr. Clean,brand,,,mr-clean
kg:category/household-care,schema:CategoryCode,Household Care,category,,,household-care
kg:brand/lysol,Brand,Lysol,brand,,,lysol
kg:brand/golden-fiesta,Brand,Golden Fiesta,brand,,,golden-fiesta
kg:category/cooking-essentials,schema:CategoryCode,Cooking Essentials,category,,,cooking-essentials
kg:brand/talk-n-text,Brand,Talk N Text,brand,,,talk-n-text
kg:category/services,schema:CategoryCode,Services,category,,,services
kg:brand/alaska,Brand,Alaska,brand,,,alaska
kg:category/dairy,schema:CategoryCode,Dairy,category,,,dairy
kg:brand/sunsilk,Brand,Sunsilk,brand,,,sunsilk
kg:category/personal-care,schema:CategoryCode,Personal Care,category,,,personal-care
kg:brand/ligo,Brand,Ligo,brand,,,ligo
kg:category/canned-and-jarred-goods,schema:CategoryCode,Canned & Jarred Goods,category,,,canned-and-jarred-goods
kg:brand/monde-nissin,Brand,Monde Nissin,brand,,,monde-nissin
kg:category/snacks-and-confectionery,schema:CategoryCode,Snacks & Confectionery,category,,,snacks-and-confectionery
kg:brand/del-monte,Brand,Del Monte,brand,,,del-monte
kg:brand/spam,Brand,Spam,brand,,,spam
kg:category/processed,schema:CategoryCode,Processed,category,,,processed
kg:brand/holiday,Brand,Holiday,brand,,,holiday
kg:brand/presto,Brand,Presto,brand,,,presto
kg:category/snacks,schema:CategoryCode,Snacks,category,,,snacks
kg:brand/cherry-prepaid,Brand,Cherry Prepaid,brand,,,cherry-prepaid
kg:brand/minola,Brand,Minola,brand,,,minola
kg:brand/purefoods-star,Brand,Purefoods Star,brand,,,purefoods-star
kg:brand/skyflakes,Brand,SkyFlakes,brand,,,skyflakes
kg:brand/mang-tomas,Brand,Mang Tomas,brand,,,mang-tomas
kg:brand/ariel,Brand,Ariel,brand,,,ariel
kg:brand/angel,Brand,Angel,brand,,,angel
kg:brand/bioderm,Brand,Bioderm,brand,,,bioderm
kg:brand/purefoods,Brand,Purefoods,brand,,,purefoods
kg:brand/flat-tops,Brand,Flat Tops,brand,,,flat-tops
kg:brand/marlboro,Brand,Marlboro,brand,,,marlboro
kg:category/tobacco-products,schema:CategoryCode,Tobacco Products,category,,,tobacco-products
kg:brand/magic,Brand,Magic,brand,,,magic
kg:brand/rc-cola,Brand,RC Cola,brand,,,rc-cola
kg:brand/globe,Brand,Globe,brand,,,globe
kg:category/telecoms,schema:CategoryCode,Telecoms,category,,,telecoms
kg:brand/century,Brand,Century,brand,,,century
kg:category/canned,schema:CategoryCode,Canned,category,,,canned
kg:brand/colgate,Brand,Colgate,brand,,,colgate
kg:brand/nutriasia,Brand,NutriAsia,brand,,,nutriasia
kg:brand/lm,Brand,LM,brand,,,lm
kg:brand/head-and-shoulders,Brand,Head & Shoulders,brand,,,head-and-shoulders
kg:brand/touch-mobile,Brand,Touch Mobile,brand,,,touch-mobile
kg:brand/emperador,Brand,Emperador,brand,,,emperador
kg:category/alcoholic,schema:CategoryCode,Alcoholic,category,,,alcoholic
kg:brand/pepsi,Brand,Pepsi,brand,,,pepsi
kg:brand/kopiko,Brand,Kopiko,brand,,,kopiko
kg:category/beverages,schema:CategoryCode,Beverages,category,,,beverages
kg:brand/coca-cola,Brand,Coca-Cola,brand,,,coca-cola
kg:org/the-coca-cola-company,Organization,The Coca-Cola Company,organization,,KO,the-coca-cola-company
_:ms_coca-cola,kg:MarketShare,,metric,,,
kg:brand/marca-leon,Brand,Marca Leon,brand,,,marca-leon
kg:brand/knorr,Brand,Knorr,brand,,,knorr
kg:brand/mighty,Brand,Mighty,brand,,,mighty
kg:brand/nestlé,Brand,Nestlé,brand,,,nestlé
kg:brand/smart,Brand,Smart,brand,,,smart
kg:brand/camel,Brand,Camel,brand,,,camel
kg:brand/carnation,Brand,Carnation,brand,,,carnation
kg:brand/selecta,Brand,Selecta,brand,,,selecta
kg:brand/tiger,Brand,Tiger,brand,,,tiger
kg:brand/great-taste,Brand,Great Taste,brand,,,great-taste
kg:brand/monde,Brand,Monde,brand,,,monde
kg:brand/philip-morris,Brand,Philip Morris,brand,,,philip-morris
kg:brand/jimms,Brand,Jimms,brand,,,jimms
kg:brand/nissin,Brand,Nissin,brand,,,nissin
kg:category/instant-foods,schema:CategoryCode,Instant Foods,category,,,instant-foods
kg:brand/cloud-9,Brand,Cloud 9,brand,,,cloud-9
kg:brand/sun-cellular,Brand,Sun Cellular,brand,,,sun-cellular
kg:brand/gatorade,Brand,Gatorade,brand,,,gatorade
kg:brand/argentina,Brand,Argentina,brand,,,argentina
